Class ID,class,order,family,genus,species,image count,Geographical Spread,Role in Ecosystem,Size Distribution
1932,Insecta,Lepidoptera,Nymphalidae,Polygonia,satyrus,1496,"Canada, United States, Alaska, Pacific Northwest, Northern Rocky Mountains",Pollinator,Approximately 45 to 60 millimeters
1933,Insecta,Lepidoptera,Nymphalidae,Polygonia,comma,7664,"United States, Canada, Mexico, Denmark, Sweden",Pollinator,45-64 millimeters
1934,Insecta,Lepidoptera,Nymphalidae,Polygonia,c-aureum,853,"Japan, South Korea, China, Taiwan, Russia",Pollinator,40-50 millimeters
1935,Insecta,Lepidoptera,Nymphalidae,Polygonia,faunus,1725,"Canada, Northeastern United States, Pacific Northwest, Great Lakes region, Northern Great Plains",Pollinator,45-64 millimeters
1936,Insecta,Lepidoptera,Nymphalidae,Polygonia,gracilis,965,"North America, Canada, United States, Mexico, Pacific Northwest",Pollinator,45-64 millimeters
1937,Insecta,Lepidoptera,Nymphalidae,Polygonia,interrogationis,12810,"United States, Canada, Mexico, Central America, Colombia",Pollinator,45-73 millimeters
1938,Insecta,Lepidoptera,Nymphalidae,Polygonia,progne,1606,"Canada, Northeastern United States, Great Lakes region, Rocky Mountains, Pacific Northwest",Pollinator,45-64 millimeters
1939,Insecta,Lepidoptera,Nymphalidae,Polygonia,c-album,11494,"United Kingdom, Sweden, Ireland, Poland, Germany",Pollinator,40-50mm
1940,Insecta,Lepidoptera,Nymphalidae,Pyronia,cecilia,1319,"Spain, Portugal, France, Italy, Greece",Pollinator,Approximately 17-23 millimeters
1941,Insecta,Lepidoptera,Nymphalidae,Pyronia,bathseba,677,"Spain, Portugal, France, Morocco, Algeria",Pollinator,Approximately 17-23 millimeters
1942,Insecta,Lepidoptera,Nymphalidae,Pyronia,tithonus,5473,"United Kingdom, France, Portugal, Spain, Italy",Pollinator,Approximately 17-20 millimeters in wingspan
1943,Insecta,Lepidoptera,Nymphalidae,Siproeta,epaphus,886,"Mexico, Central America, northern South America, Trinidad and Tobago",Pollinator,70-80 mm
1944,Insecta,Lepidoptera,Nymphalidae,Siproeta,stelenes,2968,"Central America, northern South America, Mexico, Caribbean, and occasionally southern Texas and Florida",Pollinator,60-80 millimeters wingspan when the insect is adult
1945,Insecta,Lepidoptera,Nymphalidae,Smyrna,blomfildia,519,"Mexico, Central America, Colombia, Venezuela, and Ecuador",Pollinator,70-90 mm
1946,Insecta,Lepidoptera,Nymphalidae,Speyeria,aphrodite,1559,"United States, Canada, Northeast, Midwest, Rocky Mountains",Pollinator,62-86 mm
1947,Insecta,Lepidoptera,Nymphalidae,Speyeria,mormonia,760,"Western North America, Rocky Mountains, Pacific Coast, Sierra Nevada, Northern Great Plains",Pollinator,Approximately 35 to 60 millimeters
1948,Insecta,Lepidoptera,Nymphalidae,Speyeria,aglaja,1965,"Europe, Scandinavia, Russia, Central Asia, China, Japan",Pollinator,50-60 mm
1949,Insecta,Lepidoptera,Nymphalidae,Speyeria,callippe,738,"California, Oregon, Nevada, Idaho, Wyoming",Pollinator,Approximately 40-70 millimeters
1950,Insecta,Lepidoptera,Nymphalidae,Speyeria,atlantis,1978,"Canada, United States, Alaska, Rocky Mountains, Appalachian Mountains",Pollinator,63 to 80 millimeters
1951,Insecta,Lepidoptera,Nymphalidae,Speyeria,idalia,440,"United States, Canada, North Dakota, South Dakota, Missouri",Pollinator,70-100 millimeters
1952,Insecta,Lepidoptera,Nymphalidae,Speyeria,cybele,10580,"United States, Canada, Mexico, Central America, Colombia",Pollinator,62 to 106 millimeters
1953,Insecta,Lepidoptera,Nymphalidae,Symbrenthia,lilaea,785,"India, Nepal, Bhutan, Bangladesh, Myanmar",Pollinator,50-55 millimeters
1954,Insecta,Lepidoptera,Nymphalidae,Tanaecia,pelea,321,"Malaysia, Singapore, Indonesia, Thailand, Philippines",Pollinator,50-60 millimeters
1955,Insecta,Lepidoptera,Nymphalidae,Tegosa,claudina,664,Not available,Not available,Not available
1956,Insecta,Lepidoptera,Nymphalidae,Texola,elada,436,"Mexico, Arizona, Texas, Oklahoma, Kansas",Pollinator,40-50 millimeters
1957,Insecta,Lepidoptera,Nymphalidae,Tirumala,limniace,1262,"India, Nepal, Sri Lanka, Myanmar, Thailand",Pollinator,Approximately 70-85 millimeters
1958,Insecta,Lepidoptera,Nymphalidae,Tirumala,septentrionis,640,"India, Nepal, Myanmar, Thailand, Laos",Pollinator,70-85 millimeters
1959,Insecta,Lepidoptera,Nymphalidae,Tisiphone,abeona,742,"Australia, Queensland, New South Wales, Victoria, South Australia, Tasmania",Pollinator,50-65 millimeters (wingspan)
1960,Insecta,Lepidoptera,Nymphalidae,Vanessa,atalanta,46367,"Europe, North America, Northern Africa, Asia",Pollinator,45-50 millimeters
1961,Insecta,Lepidoptera,Nymphalidae,Vanessa,indica,580,"India, Japan, South Korea, Taiwan, China",Pollinator,45-50 millimeters
1962,Insecta,Lepidoptera,Nymphalidae,Vanessa,annabella,3327,"United States, Mexico, British Columbia, Central America, South America",Pollinator,45-60 millimeters
1963,Insecta,Lepidoptera,Nymphalidae,Vanessa,cardui,43501,"Europe, Asia, Africa, North America, Central America",Pollinator,45-60 millimeters
1964,Insecta,Lepidoptera,Nymphalidae,Vanessa,braziliensis,1231,"Brazil, Argentina, Paraguay, Uruguay, and Bolivia",Pollinator,Approximately 50-60 millimeters
1965,Insecta,Lepidoptera,Nymphalidae,Vanessa,carye,1570,"Argentina, Chile, Uruguay, southern Brazil, central and western United States",Pollinator,Approximately 45 to 60 millimeters
1966,Insecta,Lepidoptera,Nymphalidae,Vanessa,kershawi,3007,"Australia, Tasmania, New Zealand, Lord Howe Island, Norfolk Island",Pollinator,40-50 millimeters
1967,Insecta,Lepidoptera,Nymphalidae,Vanessa,gonerilla,448,"New Zealand, Auckland Islands, Norfolk Island, Lord Howe Island, Raoul Island",Pollinator,Approximately 50-60 millimeters
1968,Insecta,Lepidoptera,Nymphalidae,Vanessa,itea,2944,"Australia, New Zealand, Lord Howe Island, Norfolk Island, Solomon Islands",Pollinator,48-55 mm
1969,Insecta,Lepidoptera,Nymphalidae,Vanessa,virginiensis,17004,"North America, Central America, South America, Europe, Asia",Pollinator,40-50 millimeters
1970,Insecta,Lepidoptera,Nymphalidae,Ypthima,baldus,1267,"India, Sri Lanka, Bangladesh, Myanmar, Thailand",Pollinator,40-50 millimeters
1971,Insecta,Lepidoptera,Nymphalidae,Ypthima,huebneri,1045,"India, Bangladesh, Myanmar, Thailand, Laos",Pollinator,Approximately 40-50 millimeters
1972,Insecta,Lepidoptera,Oecophoridae,Endrosis,sarcitrella,907,"Europe, North America, Australia, New Zealand, Asia",Pest,12-20 millimeters
1973,Insecta,Lepidoptera,Oecophoridae,Epicallima,argenticinctella,1248,"Eastern United States, Canada, Ontario, Quebec, Nova Scotia",Decomposer,Approximately 12-18 millimeters
1974,Insecta,Lepidoptera,Oecophoridae,Hofmannophila,pseudospretella,1190,"Europe, North America, Australia, New Zealand, Asia",Pest,15-26 mm
1975,Insecta,Lepidoptera,Oecophoridae,Promalactis,suzukiella,948,"Japan, South Korea, China, Russia, Taiwan",Pest,Wingspan is approximately 12-17 millimeters
1976,Insecta,Coleoptera,Oedemeridae,Oedemera,nobilis,4129,"United Kingdom, France, Portugal, Spain, Italy",Pollinator,8-10 mm
1977,Insecta,Coleoptera,Oedemeridae,Oedemera,femorata,760,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, indicator species, invasive species",Enter size in millimeter when the insect is adult
1978,Insecta,Hemiptera,Oxycarenidae,Oxycarenus,lavaterae,1206,"Europe, North Africa, Asia, North America",Pest,4-5 mm
1979,Insecta,Mecoptera,Panorpidae,Panorpa,nuptialis,894,"Central Europe, Northern Europe, Russia, Asia Minor, Northern Asia",Decomposer,Approximately 25 millimeters
1980,Insecta,Mecoptera,Panorpidae,Panorpa,communis,913,"Europe, Asia, North America, United Kingdom, Germany",Decomposer,14-18 millimeters
1981,Insecta,Lepidoptera,Papilionidae,Battus,polydamas,1722,"Arizona, Texas, Florida, Mexico, Central America",Pollinator,90-120 mm wingspan
1982,Insecta,Lepidoptera,Papilionidae,Battus,philenor,19812,"United States, Mexico, Central America, Colombia, Venezuela",Pollinator,90-120 mm wingspan as an adult
1983,Insecta,Lepidoptera,Papilionidae,Eurytides,marcellus,4549,"United States, Southeastern Canada, Great Lakes region, Gulf of Mexico",Pollinator,Wingspan ranges from 70 to 100 millimeters
1984,Insecta,Lepidoptera,Papilionidae,Graphium,sarpedon,1575,"Australia, India, Japan, China, Southeast Asia",Pollinator,Approximately 70 to 100 millimeters
1985,Insecta,Lepidoptera,Papilionidae,Graphium,doson,1057,"India, Sri Lanka, Myanmar, Thailand, Laos, Vietnam, Southern China",Pollinator,55-65 millimeters
1986,Insecta,Lepidoptera,Papilionidae,Graphium,agamemnon,1808,"India, Sri Lanka, Southeast Asia, Australia, Solomon Islands",Pollinator,90-100 millimeters
1987,Insecta,Lepidoptera,Papilionidae,Iphiclides,podalirius,4614,"Southern Europe, Eastern Europe, Asia Minor, Iraq, Caucasus",Pollinator,80 to 100 millimeters
1988,Insecta,Lepidoptera,Papilionidae,Iphiclides,feisthamelii,1259,"Spain, Portugal, Morocco, Algeria, Tunisia",Pollinator,Approximately 65 to 80 millimeters in wingspan
1989,Insecta,Lepidoptera,Papilionidae,Pachliopta,aristolochiae,1029,"India, Sri Lanka, Myanmar, Australia, Philippines",Pollinator,90-100 mm
1990,Insecta,Lepidoptera,Papilionidae,Papilio,demodocus,271,"sub-Saharan Africa, South Africa, Nigeria, Ethiopia, Kenya",Pest,90-100 mm wingspan
1991,Insecta,Lepidoptera,Papilionidae,Papilio,protenor,783,"Japan, China, India, Nepal, Vietnam",Pollinator,70-100 millimeters
1992,Insecta,Lepidoptera,Papilionidae,Papilio,clytia,1058,"India, Sri Lanka, Myanmar, Thailand, Laos",Pollinator,70 to 100 mm
1993,Insecta,Lepidoptera,Papilionidae,Papilio,paris,868,"India, Nepal, Bhutan, Myanmar, China",Pollinator,90-110 millimeters
1994,Insecta,Lepidoptera,Papilionidae,Papilio,glaucus,34649,"Eastern North America, Great Lakes, Gulf of Mexico, Northern Great Plains, Ontario",Pollinator,80-140 millimeters (wingspan)
1995,Insecta,Lepidoptera,Papilionidae,Papilio,zelicaon,6360,"Canada, United States, Mexico, British Columbia, California",pollinator,52-80 millimeters
1996,Insecta,Lepidoptera,Papilionidae,Papilio,polymnestor,596,"India, Sri Lanka, Western Ghats, South Asia, Southeast Asia",Pollinator,100-150 millimeters
1997,Insecta,Lepidoptera,Papilionidae,Papilio,bianor,316,"China, Japan, Taiwan, India, Vietnam",Pollinator,50-70 millimeters
1998,Insecta,Lepidoptera,Papilionidae,Papilio,eurymedon,3675,"Western North America, British Columbia, California, Idaho, Nevada, Oregon",Pollinator,50 to 90 millimeters
1999,Insecta,Lepidoptera,Papilionidae,Papilio,palamedes,2555,"United States, Canada, Florida, Georgia, Alabama",Pollinator,90-110 mm
2000,Insecta,Lepidoptera,Papilionidae,Papilio,aegeus,1558,"Australia, Papua New Guinea, Solomon Islands, Indonesia, Nauru",Pollinator,Approximately 100 to 140 millimeters
2001,Insecta,Lepidoptera,Papilionidae,Papilio,canadensis,4616,"Canada, Alaska, Northern Great Lakes, Northeastern United States, Appalachians",Pollinator,50-90 millimeters (wingspan)
2002,Insecta,Lepidoptera,Papilionidae,Papilio,cresphontes,9088,"Canada, United States, Mexico, Central America, Colombia, Jamaica",Pollinator,100-160 millimeters
2003,Insecta,Lepidoptera,Papilionidae,Papilio,garamas,709,"Mexico, Costa Rica, Guatemala, El Salvador, Honduras",Pollinator,90-120 mm
2004,Insecta,Lepidoptera,Papilionidae,Papilio,rogeri,127,"Uganda, Kenya, Tanzania, Democratic Republic of the Congo, Burundi",Pollinator,Approximately 100-120 millimeters in wingspan
2005,Insecta,Lepidoptera,Papilionidae,Papilio,polyxenes,27619,"United States, Canada, Mexico, Guatemala, El Salvador",Pollinator,Approximately 90-110 millimeters in wingspan when the insect is adult
2006,Insecta,Lepidoptera,Papilionidae,Papilio,multicaudata,4313,"United States, Canada, Mexico, Guatemala, Honduras",pollinator,80 to 130
2007,Insecta,Lepidoptera,Papilionidae,Papilio,dardanus,140,"Sub-Saharan Africa, South Africa, Madagascar, Arabian Peninsula",Pollinator,85-105 mm
2008,Insecta,Lepidoptera,Papilionidae,Papilio,rumiko,5242,"United States, Mexico, Central America, South America, Caribbean",Pollinator,100-130 millimeters
2009,Insecta,Lepidoptera,Papilionidae,Papilio,rutulus,7854,"Western North America, California, Colorado, Washington, Oregon, British Columbia",Pollinator,90-120 mm
2010,Insecta,Lepidoptera,Papilionidae,Papilio,helenus,808,"India, Nepal, Bhutan, Myanmar, China",Pollinator,70-100 millimeters
2011,Insecta,Lepidoptera,Papilionidae,Papilio,machaon,9252,"Asia, Europe, North America, North Africa, Northern Arctic",Pollinator,50-90 mm
2012,Insecta,Lepidoptera,Papilionidae,Papilio,demoleus,3135,"Asia, Australia, Africa, Arabian Peninsula",Pest,80-100 mm wingspan as an adult
2013,Insecta,Lepidoptera,Papilionidae,Papilio,anactus,820,"Australia, particularly eastern and southern regions",Pollinator,70-80 millimeters
2014,Insecta,Lepidoptera,Papilionidae,Papilio,troilus,12864,"Eastern North America, Southeastern United States, Northeastern United States, Midwest United States, Ontario",Pollinator,90 to 130 millimeters
2015,Insecta,Lepidoptera,Papilionidae,Papilio,polytes,4438,"India, Sri Lanka, Myanmar, Indonesia, Philippines",Pollinator,70-100 millimeters
2016,Insecta,Lepidoptera,Papilionidae,Papilio,anchisiades,609,"Mexico, Central America, South America, Trinidad, and the southernmost parts of Texas",Pollinator,50-80 millimeters
2017,Insecta,Lepidoptera,Papilionidae,Papilio,thoas,1494,"Mexico, Central America, Northern South America, Brazil, Argentina",Pollinator,Approximately 100 to 130 millimeters
2018,Insecta,Lepidoptera,Papilionidae,Papilio,xuthus,882,"Japan, China, Korea, Taiwan, and Southeast Asia",Pollinator,50-55 millimeters (wingspan)
2019,Insecta,Lepidoptera,Papilionidae,Papilio,memnon,1505,"India, China, Nepal, Myanmar, Indonesia",Pollinator,120-150 millimeters
2020,Insecta,Lepidoptera,Papilionidae,Parnassius,apollo,1649,"Sweden, France, Poland, Greece, Spain",Pollinator,65–106 millimeters (wing span of adult)
2021,Insecta,Lepidoptera,Papilionidae,Parnassius,smintheus,719,"United States, Canada, Rocky Mountains, Colorado, Alberta",pollinator,70 to 80 millimeters in wingspan
2022,Insecta,Lepidoptera,Papilionidae,Parnassius,mnemosyne,564,"Sweden, France, Poland, Greece, Russia",Pollinator,50-70 millimeters (wing span of adult)
2023,Insecta,Lepidoptera,Papilionidae,Parnassius,clodius,1001,"Western North America, British Columbia, Washington, Oregon, California, Idaho, Montana",Pollinator,Wing span range is 70-90 millimeters
2024,Insecta,Lepidoptera,Papilionidae,Protographium,epidaus,255,"Mexico, Guatemala, Belize, Honduras, El Salvador",Pollinator,70-100mm wingspan
2025,Insecta,Lepidoptera,Papilionidae,Zerynthia,rumina,744,"Spain, Portugal, France, Morocco, Algeria",Pollinator,50-60 mm wingspan when the insect is adult
2026,Insecta,Lepidoptera,Papilionidae,Zerynthia,polyxena,592,"Southern Europe, Italy, France, Hungary, Balkan Peninsula, Ukraine",Pollinator,50-60 mm wingspan when the insect is adult
2027,Insecta,Coleoptera,Passalidae,Odontotaenius,disjunctus,7079,"United States, Mexico, Central America, Cuba, Puerto Rico",Decomposer,20-43 millimeters
2028,Insecta,Hymenoptera,Pelecinidae,Pelecinus,polyturator,2226,"United States, Mexico, Canada, Costa Rica, Northern South America",Parasitoid,20-50 mm
2029,Insecta,Hemiptera,Pentatomidae,Aelia,acuminata,1738,"Europe, Central Asia, Siberia, North Africa",Pest,6-8 mm
2030,Insecta,Hemiptera,Pentatomidae,Bagrada,hilaris,1250,"Africa, Southern Asia, Southern Europe, United States, Australia",Pest,5-7 millimeters
2031,Insecta,Hemiptera,Pentatomidae,Banasa,euchlora,1417,"United States, Mexico, Canada, Central America, South America",Pest,Approximately 12-14 mm
2032,Insecta,Hemiptera,Pentatomidae,Banasa,dimidiata,1023,"United States, Mexico, Costa Rica, Panama, Colombia",Pest,12 to 15 mm
2033,Insecta,Hemiptera,Pentatomidae,Carpocoris,purpureipennis,2329,"Europe, Asia Minor, Caucasus, Siberia, Central Asia, China, Korea",Herbivore,12-15 mm
2034,Insecta,Hemiptera,Pentatomidae,Carpocoris,mediterraneus,384,"Southern Europe, North Africa, Caucasus, Central Asia",Predator,10-12 mm
2035,Insecta,Hemiptera,Pentatomidae,Carpocoris,fuscispinus,924,"Europe, Asian part of Turkey, Caucasus, Southern Siberia, Western Kazakhstan, North-West China",Predator,12 to 15 mm
2036,Insecta,Hemiptera,Pentatomidae,Chinavia,hilaris,10107,"United States, Canada, Mexico, Central America, Colombia",Pest,12-17 millimeters
2037,Insecta,Hemiptera,Pentatomidae,Chlorochroa,sayi,443,"United States, Canada, Mexico, Central America, Northern South America",Predator,12-14 millimeters
2038,Insecta,Hemiptera,Pentatomidae,Chlorochroa,ligata,600,"United States, Mexico, Central America, South America, Caribbean",Pest,12-17 mm
2039,Insecta,Hemiptera,Pentatomidae,Cosmopepla,lintneriana,3494,"United States, Canada, Northern Mexico, Northeast Asia, Europe",Predator,5 to 7 mm
2040,Insecta,Hemiptera,Pentatomidae,Dolycoris,baccarum,6238,"Europe, Asia Minor, Caucasus, Siberia, Central Asia",Predator,10-12 millimeters
2041,Insecta,Hemiptera,Pentatomidae,Erthesina,fullo,1627,"China, Korea, Japan, Taiwan, and Vietnam",Pest,14-18 mm
2042,Insecta,Hemiptera,Pentatomidae,Eurydema,oleracea,2676,"Europe, North Africa, Asia Minor, Caucasus",Pest,7-8 millimeters
2043,Insecta,Hemiptera,Pentatomidae,Eurydema,ornata,2163,"Southern Europe, North Africa, Southwestern Asia, Central Asia, Caucasus",Pest,8-12 mm
2044,Insecta,Hemiptera,Pentatomidae,Euschistus,tristigmus,667,"United States, Mexico, Central America, South America",Pest,12-17 mm
2045,Insecta,Hemiptera,Pentatomidae,Euschistus,servus,790,"United States, Canada, Mexico, Guatemala, Honduras",Pest,12-17 mm
2046,Insecta,Hemiptera,Pentatomidae,Euthyrhynchus,floridanus,1273,"United States, Mexico, Central America, Northern South America",Predator,12-18 millimeters
2047,Insecta,Hemiptera,Pentatomidae,Graphosoma,semipunctatum,740,"Southern Europe, Northern Africa, Central Asia, South Caucasus, Middle East",Herbivore,8-11 mm
2048,Insecta,Hemiptera,Pentatomidae,Graphosoma,italicum,3321,"Europe, Northern Africa, Western Asia, Introduced to North America",Herbivore,8-11 mm
2049,Insecta,Hemiptera,Pentatomidae,Halyomorpha,halys,22975,"United States, Canada, European countries, China, Korea",pest,12 to 17 millimeters
2050,Insecta,Hemiptera,Pentatomidae,Menecles,insertus,1100,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
2051,Insecta,Hemiptera,Pentatomidae,Mormidea,lugens,1092,Enter comma separated list of top 5 places where this insect is found,"Classify this insect as a pest, predator, pollinator, parasitoid, decomposer, Indicator species, or Invasive species",Enter size in millimeter when the insect is an adult
2052,Insecta,Hemiptera,Pentatomidae,Murgantia,histrionica,5481,"United States, Mexico, Central America, South America, Canada",Pest,7-10 millimeters
2053,Insecta,Hemiptera,Pentatomidae,Nezara,viridula,10738,"Africa, Asia, Australia, Southern Europe, Americas",Pest,12–17 mm
2054,Insecta,Hemiptera,Pentatomidae,Oebalus,pugnax,1616,"United States, Mexico, Brazil, Argentina, Uruguay",pest,12-14 mm
2055,Insecta,Hemiptera,Pentatomidae,Palomena,prasina,13369,"Europe, North Africa, Asia, United Kingdom, France",Pest,12-15 mm
2056,Insecta,Hemiptera,Pentatomidae,Pentatoma,rufipes,2284,"Europe, Russia, Caucasus, Northern Asia, North Africa","Predator, sometimes pest",12-15 mm
2057,Insecta,Hemiptera,Pentatomidae,Peribalus,strictus,276,"Europe, Middle East, Central Asia",Predator,12-14 mm
2058,Insecta,Hemiptera,Pentatomidae,Picromerus,bidens,895,"United Kingdom, France, Germany, Poland, Sweden",Predator,12-15 mm
2059,Insecta,Hemiptera,Pentatomidae,Piezodorus,lituratus,1272,"Europe, North Africa, Asia Minor, Caucasus, Siberia",Pest,10-12 mm
2060,Insecta,Hemiptera,Pentatomidae,Proxys,punctulatus,1001,"Brazil, Argentina, Paraguay, Uruguay, Bolivia",Pest,12-14 millimeters
2061,Insecta,Hemiptera,Pentatomidae,Rhaphigaster,nebulosa,4893,"Southern and Central Europe, Caucasus, Asia Minor, and North Iran",Pest,12 to 17 millimeters
2062,Insecta,Hemiptera,Pentatomidae,Stiretrus,anchorago,882,"United States, Mexico, Costa Rica, Panama, Colombia",Predator,Approximately 12-14 millimeters
2063,Insecta,Hemiptera,Pentatomidae,Thyanta,custator,651,"United States, Canada, Mexico, Costa Rica, Panama",Pest,13-18 mm
2064,Insecta,Odonata,Petaluridae,Tachopteryx,thoreyi,723,"United States - Georgia, New Jersey, Florida, Alabama, Virginia",Predator,Approximately 68 to 80 millimeters
2065,Insecta,Phasmida,Phasmatidae,Clitarchus,hookeri,882,"New Zealand, United Kingdom, Belgium, Netherlands, Ireland",Decomposer,Approximately 90-130 millimeters
2066,Insecta,Hemiptera,Phylloxeridae,Daktulosphaira,vitifoliae,1561,"Europe, North America, Australia, New Zealand, South Africa",Pest,1-1.5 mm
2067,Insecta,Lepidoptera,Pieridae,Abaeis,nicippe,7756,"United States, Mexico, Central America, Colombia, Venezuela",Pollinator,Approximately 32 to 54 millimeters
2068,Insecta,Lepidoptera,Pieridae,Anteos,maerula,800,"Mexico, Costa Rica, Argentina, USA, Belize",Pollinator,65-90 mm
2069,Insecta,Lepidoptera,Pieridae,Anteos,clorinde,783,"Mexico, Central America, South America, Southern United States, West Indies",Pollinator,50-80 millimeters
2070,Insecta,Lepidoptera,Pieridae,Anthocharis,cardamines,5430,"United Kingdom, Ireland, Scandinavia, Russia, Central Asia",Pollinator,40-50 mm wingspan
2071,Insecta,Lepidoptera,Pieridae,Anthocharis,sara,1860,"Western North America, British Columbia, California, Nevada, Oregon, Washington",Pollinator,35-45 mm
2072,Insecta,Lepidoptera,Pieridae,Anthocharis,midea,1085,"United States, Mexico, Southern Canada, Great Lakes region, North Carolina",Pollinator,35-45 mm
2073,Insecta,Lepidoptera,Pieridae,Aporia,crataegi,3395,"Europe, Central Asia, western China, Japan, Korea",Pollinator,63-70 millimeters (wingspan)
2074,Insecta,Lepidoptera,Pieridae,Appias,lyncida,513,"India, Sri Lanka, Myanmar, Thailand, Philippines",Pollinator,70-80 millimeters
2075,Insecta,Lepidoptera,Pieridae,Appias,libythea,974,"India, Sri Lanka, Myanmar, Indonesia, Philippines",Pollinator,Approximately 54-60 millimeters
2076,Insecta,Lepidoptera,Pieridae,Ascia,monuste,3579,"Southern United States, Central America, South America, Caribbean",Pollinator,50-80 millimeters
2077,Insecta,Lepidoptera,Pieridae,Belenois,aurota,816,"India, Sub-Saharan Africa, Saudi Arabia, Yemen, Oman",Pollinator,50-60 mm wingspan
2078,Insecta,Lepidoptera,Pieridae,Belenois,creona,47,"Africa, Madagascar, Arabian Peninsula, Southern Asia",Pollinator,50-60 millimeters (wingspan)
2079,Insecta,Lepidoptera,Pieridae,Belenois,java,2058,"Australia, Papua New Guinea, Indonesia, Solomon Islands, Nauru",Pollinator,50-60 mm wingspan as an adult
2080,Insecta,Lepidoptera,Pieridae,Catasticta,nimbice,702,Enter comma separated list of top 5 places where this insect is found,Pollinator,Enter size in millimeter when the insect is adult
2081,Insecta,Lepidoptera,Pieridae,Catopsilia,pyranthe,1220,"Australia, Southeast Asia, South Asia, Madagascar, Pacific Islands",Pollinator,50-60 mm
2082,Insecta,Lepidoptera,Pieridae,Catopsilia,florella,846,"Sub-Saharan Africa, Arabian Peninsula, Australia, Southern Europe, Indian subcontinent",Pollinator,Approximately 50-60 millimeters in wingspan when the insect is adult
2083,Insecta,Lepidoptera,Pieridae,Catopsilia,pomona,3554,"India, Australia, Japan, Southeast Asia, and parts of the Pacific islands",Pollinator,Approximately 50-60 millimeters
2084,Insecta,Lepidoptera,Pieridae,Cepora,nerissa,963,"India, Sri Lanka, Myanmar, Philippines, Australia",Pollinator,54-64 millimeters
2085,Insecta,Lepidoptera,Pieridae,Colias,eurytheme,12236,"United States, Mexico, Canada, Guatemala, Venezuela",pest,40-50 millimeters
2086,Insecta,Lepidoptera,Pieridae,Colias,croceus,3662,"Europe, North Africa, Middle East, Central Asia, India",pollinator,53 to 65 millimeters
2087,Insecta,Lepidoptera,Pieridae,Colias,philodice,5933,"United States, Canada, Mexico, Central America, Colombia",pollinator,40-60 millimeters
2088,Insecta,Lepidoptera,Pieridae,Colias,interior,412,"Canada, United States, Alaska, Michigan, Colorado",Pollinator,40-60 millimeters
2089,Insecta,Lepidoptera,Pieridae,Delias,hyparete,618,"Australia, India, Southeast Asia, Japan, Southern China",Pollinator,Approximately 55-65 millimeters
2090,Insecta,Lepidoptera,Pieridae,Delias,eucharis,517,"India, Sri Lanka, Myanmar, Indonesia",Pollinator,70-90 millimeters
2091,Insecta,Lepidoptera,Pieridae,Delias,pasithoe,1604,"China, India, Myanmar, Thailand, Vietnam",Pollinator,Approximately 55-65 millimeters
2092,Insecta,Lepidoptera,Pieridae,Euchloe,ausonides,540,"Western North America, British Columbia, California, Nevada, New Mexico, Oregon",Pollinator,40-50 millimeters
2093,Insecta,Lepidoptera,Pieridae,Eurema,mexicana,224,"Mexico, Central America, Southwestern United States, Florida, South Texas",Pollinator,Approximately 35-50 millimeters
2094,Insecta,Lepidoptera,Pieridae,Eurema,brigitta,334,"Sub-Saharan Africa, South Asia, Southeast Asia, Australia, Madagascar",Pollinator,35–45 millimeters
2095,Insecta,Lepidoptera,Pieridae,Eurema,hecabe,2512,"India, Southeast Asia, Japan, Australia, Africa",Pollinator,Approximately 40-50 millimeters
2096,Insecta,Lepidoptera,Pieridae,Eurema,blanda,1000,"Australia, India, Japan, Myanmar, Thailand",Pollinator,Approximately 45 to 50 millimeters
2097,Insecta,Lepidoptera,Pieridae,Eurema,daira,1896,"United States, Mexico, Central America, South America, Caribbean",Pollinator,45-55 millimeters
2098,Insecta,Lepidoptera,Pieridae,Ganyra,josephina,64,"Mexico, Costa Rica, Brazil, Argentina, Ecuador",Pollinator,20-30 millimeters
2099,Insecta,Lepidoptera,Pieridae,Glutophrissa,drusilla,256,Enter comma separated list of top 5 places where this insect is found,Pollinator,Enter size in millimeter when the insect is adult
2100,Insecta,Lepidoptera,Pieridae,Gonepteryx,cleopatra,1028,"Southern Europe, North Africa, Greece, Turkey, Lebanon, Israel",Pollinator,Approximately 50-60 millimeters
2101,Insecta,Lepidoptera,Pieridae,Gonepteryx,rhamni,8152,"Europe, North Africa, Asia Minor, Central Asia, Western China",Pollinator,50 to 60
2102,Insecta,Lepidoptera,Pieridae,Hebomoia,glaucippe,650,"India, Sri Lanka, Myanmar, Indonesia, Philippines",Pollinator,90-110 mm
2103,Insecta,Lepidoptera,Pieridae,Ixias,pyrene,552,"India, Sri Lanka, Myanmar, Thailand, Philippines",Pollinator,40 to 50 millimeters
2104,Insecta,Lepidoptera,Pieridae,Kricogonia,lyside,1288,"Mexico, Central America, South Texas, New Mexico, Arizona",pollinator,Enter size in millimeter when the insect is adult
2105,Insecta,Lepidoptera,Pieridae,Leptophobia,aripa,1278,"Colombia, Venezuela, Ecuador, Peru, Bolivia",Pollinator,45-50 mm
2106,Insecta,Lepidoptera,Pieridae,Leptosia,nina,1184,"India, Sri Lanka, Myanmar, Philippines, Australia",Pollinator,35-45 millimeters
